Polling Firm,Commissioners,Fieldwork Start,Fieldwork End,Scope,Sample Size,Sample Size Qualification,Participation,Precision,SNS,SPS,JS+SPS,NDSS,SRCE,SSP,ZZS,NDBGD+ZZS,Dveri,SSZ,SDS,DS,NS,PSG,JS,NADA,SRS,DJB,POKS,VMSZ,ZLF,EU,NPS,PEP,NO,PSG+SSP,DJB+NS,SPN,Other
НСПМ,,2023-05-02,2023-05-12,National,1000,Provided,Not Available,0.1%,36.2%,Not Available,8.4%,4.6%,3.0%,3.8%,5.9%,Not Available,4.0%,3.6%,2.0%,2.6%,3.5%,Not Available,Not Available,Not Available,1.2%,Not Available,1.3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18.1%
Faktor Plus,Blic,2023-04-01,2023-04-30,National,1200,Provided,Not Available,0.1%,45.5%,Not Available,10.7%,Not Available,2.0%,6.9%,2.4%,Not Available,4.0%,4.5%,1.8%,1.8%,2.5%,1.2%,Not Available,4.5%,2.0%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7.2%
НСПМ,,2023-04-01,2023-04-10,National,1000,Provided,Not Available,0.1%,38.0%,Not Available,9.4%,4.4%,3.9%,4.2%,5.2%,Not Available,4.0%,3.4%,1.5%,2.8%,3.2%,Not Available,Not Available,Not Available,1.4%,Not Available,1.0%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17.6%
Šta Srbija misli?,Novi treći put,2023-04-04,2023-04-04,National,1329,Provided,97.5%,0.1%,43.9%,Not Available,8.7%,5.3%,3.0%,4.6%,4.0%,Not Available,4.6%,3.2%,1.1%,1.9%,2.7%,2.3%,Not Available,Not Available,1.5%,3.0%,1.7%,1.5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Šta Srbija misli?,Novi treći put,2023-02-22,2023-02-22,National,Not Available,Not Available,97.7%,0.1%,45.5%,Not Available,9.1%,3.2%,4.4%,4.6%,4.0%,Not Available,3.9%,4.1%,1.2%,2.3%,2.3%,2.1%,Not Available,Not Available,1.3%,1.9%,2.5%,1.4%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Faktor Plus,Blic,2023-02-13,2023-02-13,National,1100,Provided,Not Available,0.1%,46.0%,Not Available,10.8%,Not Available,2.2%,7.1%,2.2%,Not Available,3.3%,4.3%,2.1%,2.0%,2.7%,1.1%,Not Available,4.7%,2.0%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6.2%
НСПМ,,2023-01-05,2023-01-15,National,1050,Provided,Not Available,0.1%,39.1%,Not Available,10.0%,5.4%,5.2%,4.7%,3.7%,Not Available,3.8%,3.6%,1.5%,2.2%,3.1%,Not Available,Not Available,Not Available,2.1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14.0%
Faktor Plus,Blic,2022-12-12,2022-12-12,National,Not Available,Not Available,Not Available,0.1%,46.8%,Not Available,10.9%,Not Available,2.0%,7.0%,1.6%,Not Available,3.0%,3.9%,1.8%,1.8%,2.8%,1.0%,Not Available,4.5%,1.0%,1.0%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
НСПМ,ФНД,2022-09-01,2022-10-31,National,1050,Provided,Not Available,0.1%,42.5%,Not Available,9.8%,5.5%,4.5%,4.6%,3.4%,Not Available,3.9%,3.9%,1.5%,1.5%,2.5%,Not Available,Not Available,Not Available,2.2%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7.9%
Faktor Plus,Blic,2022-10-25,2022-10-25,National,Not Available,Not Available,Not Available,0.1%,46.3%,Not Available,10.8%,Not Available,Not Available,6.8%,2.5%,Not Available,3.4%,4.0%,1.5%,2.2%,2.8%,1.2%,Not Available,5.7%,1.5%,1.3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.6%
НСПМ,Nedeljnik,2022-06-22,2022-07-05,National,1000,Provided,Not Available,0.1%,42.6%,Not Available,9.4%,6.1%,5.9%,5.3%,4.8%,Not Available,3.1%,3.8%,2.0%,1.7%,1.5%,1.4%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Demostat,,2022-06-13,2022-06-22,National,1203,Provided,Not Available,1%,48%,9%,Not Available,6%,Not Available,10%,Not Available,4%,4%,3%,Not Available,3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
